Unnamed: 0,Step,Label,VehicleID,Distance_driven,Speed_respect,secure_dist,TTC_respect,safe_dist,Emergency_Brake,Total
326,71.0,Slow,s.2,1,0,0,0,0,0,0
327,72.0,Dangerous,Dang.0,291,9,10,0,1,0,20
328,72.0,Dangerous,Dang.1,130,2,2,0,1,0,5
329,72.0,Dangerous,Dang.2,10,0,5,0,6,0,11
330,72.0,Normal,Normal1,396,4,0,0,0,0,4
331,72.0,Slow,Slow1,218,0,0,0,0,0,0
332,72.0,Normal,normal.0,316,3,0,0,0,0,3
333,72.0,Normal,normal.1,156,2,0,0,0,0,2
334,72.0,Normal,normal.2,16,0,0,0,0,0,0
335,72.0,Slow,s.0,137,0,0,0,0,0,0
336,72.0,Slow,s.1,71,0,0,0,0,0,0
337,72.0,Slow,s.2,1,0,0,0,0,0,0
338,73.0,Dangerous,Dang.0,304,9,11,0,1,0,21
339,73.0,Dangerous,Dang.1,138,2,2,0,1,0,5
340,73.0,Dangerous,Dang.2,10,0,5,0,7,0,12
341,73.0,Normal,Normal1,406,4,0,0,0,0,4
342,73.0,Slow,Slow1,226,0,0,0,0,0,0
343,73.0,Normal,normal.0,327,3,0,0,0,0,3
344,73.0,Normal,normal.1,167,2,0,0,0,0,2
345,73.0,Normal,normal.2,16,0,0,0,0,0,0
346,73.0,Slow,s.0,144,0,0,0,0,0,0
347,73.0,Slow,s.1,77,0,0,0,0,0,0
348,73.0,Slow,s.2,2,0,0,0,0,0,0
349,74.0,Dangerous,Dang.0,316,9,12,0,1,0,22
350,74.0,Dangerous,Dang.1,150,2,2,0,1,0,5
351,74.0,Dangerous,Dang.2,10,0,5,0,8,0,13
352,74.0,Normal,Normal1,415,4,0,0,0,0,4
353,74.0,Slow,Slow1,234,0,0,0,0,0,0
354,74.0,Normal,normal.0,338,3,0,0,0,0,3
355,74.0,Normal,normal.1,180,2,0,0,0,0,2
356,74.0,Normal,normal.2,16,0,0,0,0,0,0
357,74.0,Slow,s.0,151,0,0,0,0,0,0
358,74.0,Slow,s.1,84,0,0,0,0,0,0
359,74.0,Slow,s.2,2,0,0,0,0,0,0
360,75.0,Dangerous,Dang.0,327,9,13,0,1,0,23
361,75.0,Dangerous,Dang.1,163,2,2,0,1,0,5
362,75.0,Dangerous,Dang.2,10,0,5,0,9,0,14
363,75.0,Normal,Normal1,425,5,0,0,0,0,5
364,75.0,Slow,Slow1,242,0,0,0,0,0,0
365,75.0,Normal,normal.0,347,3,0,0,0,0,3
366,75.0,Normal,normal.1,193,2,0,0,0,0,2
367,75.0,Normal,normal.2,17,0,0,0,0,0,0
368,75.0,Slow,s.0,158,0,0,0,0,0,0
369,75.0,Slow,s.1,90,0,0,0,0,0,0
370,75.0,Slow,s.2,2,0,0,0,0,0,0
371,76.0,Dangerous,Dang.0,337,9,14,0,1,0,24
372,76.0,Dangerous,Dang.1,177,2,2,0,1,0,5
373,76.0,Dangerous,Dang.2,10,0,5,0,10,0,15
374,76.0,Normal,Normal1,435,5,0,0,0,0,5
375,76.0,Slow,Slow1,250,0,0,0,0,0,0
376,76.0,Normal,normal.0,357,3,0,0,0,0,3
377,76.0,Normal,normal.1,206,2,0,0,0,0,2
378,76.0,Normal,normal.2,17,0,0,0,0,0,0
379,76.0,Slow,s.0,165,0,0,0,0,0,0
380,76.0,Slow,s.1,96,0,0,0,0,0,0
381,76.0,Slow,s.2,2,0,0,0,0,0,0
382,77.0,Dangerous,Dang.0,347,9,15,0,1,0,25
383,77.0,Dangerous,Dang.1,191,2,2,0,1,0,5
384,77.0,Dangerous,Dang.2,10,0,5,0,11,0,16
385,77.0,Normal,Normal1,446,5,0,0,0,0,5
386,77.0,Slow,Slow1,259,0,0,0,0,0,0
387,77.0,Normal,normal.0,367,3,0,0,0,0,3
388,77.0,Normal,normal.1,220,2,0,0,0,0,2
389,77.0,Normal,normal.2,17,0,0,0,0,0,0
390,77.0,Slow,s.0,172,0,0,0,0,0,0
391,77.0,Slow,s.1,103,0,0,0,0,0,0
392,77.0,Slow,s.2,2,0,0,0,0,0,0
393,78.0,Dangerous,Dang.0,357,9,16,0,1,0,26
394,78.0,Dangerous,Dang.1,205,2,2,0,1,0,5
395,78.0,Dangerous,Dang.2,10,0,5,0,12,0,17
396,78.0,Normal,Normal1,458,5,0,0,0,0,5
397,78.0,Slow,Slow1,267,0,0,0,0,0,0
398,78.0,Normal,normal.0,377,3,0,0,0,0,3
399,78.0,Normal,normal.1,233,2,0,0,0,0,2
400,78.0,Normal,normal.2,17,0,0,0,0,0,0
401,78.0,Slow,s.0,179,0,0,0,0,0,0
402,78.0,Slow,s.1,110,0,0,0,0,0,0
403,78.0,Slow,s.2,2,0,0,0,0,0,0
404,79.0,Dangerous,Dang.0,366,9,17,0,1,0,27
405,79.0,Dangerous,Dang.1,219,2,2,0,1,0,5
406,79.0,Dangerous,Dang.2,10,0,5,0,13,0,18
407,79.0,Normal,Normal1,470,5,0,0,0,0,5
408,79.0,Slow,Slow1,275,0,0,0,0,0,0
409,79.0,Normal,normal.0,386,4,0,0,0,0,4
410,79.0,Normal,normal.1,246,2,0,0,0,0,2
411,79.0,Normal,normal.2,17,0,0,0,0,0,0
412,79.0,Slow,s.0,186,0,0,0,0,0,0
413,79.0,Slow,s.1,116,0,0,0,0,0,0
414,79.0,Slow,s.2,3,0,0,0,0,0,0
415,80.0,Dangerous,Dang.0,376,10,17,0,1,0,28
416,80.0,Dangerous,Dang.1,233,2,2,0,1,0,5
417,80.0,Dangerous,Dang.2,10,0,5,0,14,0,19
418,80.0,Normal,Normal1,483,5,0,0,0,0,5
419,80.0,Slow,Slow1,283,0,0,0,0,0,0
420,80.0,Normal,normal.0,396,4,0,0,0,0,4
421,80.0,Normal,normal.1,259,2,0,0,0,0,2
422,80.0,Normal,normal.2,17,0,0,0,0,0,0
423,80.0,Slow,s.0,193,0,0,0,0,0,0
424,80.0,Slow,s.1,122,0,0,0,0,0,0
425,80.0,Slow,s.2,3,0,0,0,0,0,0
426,81.0,Dangerous,Dang.0,384,11,17,0,1,0,29
427,81.0,Dangerous,Dang.1,246,2,3,0,1,0,6
428,81.0,Dangerous,Dang.2,10,0,5,0,15,0,20
429,81.0,Normal,Normal1,495,5,0,0,0,0,5
430,81.0,Slow,Slow1,290,0,0,0,0,0,0
431,81.0,Normal,normal.0,406,4,0,0,0,0,4
432,81.0,Normal,normal.1,272,2,0,0,0,0,2
433,81.0,Normal,normal.2,17,0,0,0,0,0,0
434,81.0,Slow,s.0,201,0,0,0,0,0,0
435,81.0,Slow,s.1,129,0,0,0,0,0,0
436,81.0,Slow,s.2,3,0,0,0,0,0,0
437,82.0,Dangerous,Dang.0,393,11,18,0,1,0,30
438,82.0,Dangerous,Dang.1,260,2,4,0,1,0,7
439,82.0,Dangerous,Dang.2,10,0,5,0,16,0,21
440,82.0,Normal,Normal1,508,5,0,0,0,0,5
441,82.0,Slow,Slow1,298,0,0,0,0,0,0
442,82.0,Normal,normal.0,416,4,0,0,0,0,4
443,82.0,Normal,normal.1,285,2,0,0,0,0,2
444,82.0,Normal,normal.2,17,0,0,0,0,0,0
445,82.0,Slow,s.0,208,0,0,0,0,0,0
446,82.0,Slow,s.1,135,0,0,0,0,0,0
447,82.0,Slow,s.2,3,0,0,0,0,0,0
448,83.0,Dangerous,Dang.0,404,11,18,0,1,0,30
449,83.0,Dangerous,Dang.1,273,2,5,0,1,0,8
450,83.0,Dangerous,Dang.2,10,0,5,0,17,0,22
451,83.0,Normal,Normal1,520,5,0,0,0,0,5
452,83.0,Slow,Slow1,306,0,0,0,0,0,0
453,83.0,Normal,normal.0,426,5,0,0,0,0,5
454,83.0,Normal,normal.1,297,2,0,0,0,0,2
455,83.0,Normal,normal.2,17,0,0,0,0,0,0
456,83.0,Slow,s.0,215,0,0,0,0,0,0
457,83.0,Slow,s.1,142,0,0,0,0,0,0
458,83.0,Slow,s.2,3,0,0,0,0,0,0
459,84.0,Dangerous,Dang.0,412,11,18,0,1,0,30
460,84.0,Dangerous,Dang.1,287,2,6,0,1,0,9
461,84.0,Dangerous,Dang.2,10,0,5,0,18,0,23
462,84.0,Normal,Normal1,532,5,0,0,0,0,5
463,84.0,Slow,Slow1,313,0,0,0,0,0,0
464,84.0,Normal,normal.0,435,5,0,0,0,0,5
465,84.0,Normal,normal.1,309,2,0,0,0,0,2
